scenario,date,selected,selected_count,cash_weight,selected_names,selected_categories
no_category_cap,2023-07-07,"515050,515450,515880",3,0.0,"通信ETF华夏,红利低波50ETF南方,通信ETF国泰","通信/5G,红利/低波/质量,通信/5G"
no_category_cap,2023-07-21,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
no_category_cap,2023-08-04,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
no_category_cap,2023-08-18,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
no_category_cap,2023-09-01,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2023-09-15,"159980,515300,515450",3,0.0,"有色ETF大成,300红利低波ETF嘉实,红利低波50ETF南方","周期资源,宽基/规模,红利/低波/质量"
no_category_cap,2023-09-28,"515100,515300,515450",3,0.0,"红利低波100ETF景顺,300红利低波ETF嘉实,红利低波50ETF南方","红利/低波/质量,宽基/规模,红利/低波/质量"
no_category_cap,2023-10-20,"515300,515450,516310",3,0.0,"300红利低波ETF嘉实,红利低波50ETF南方,银行ETF易方达","宽基/规模,红利/低波/质量,金融地产"
no_category_cap,2023-11-03,"159732,516080,517380",3,0.0,"消费电子ETF华夏,创新药ETF易方达,创新药ETF天弘","消费,医药/医疗,医药/医疗"
no_category_cap,2023-11-17,"159732,159980,515220",3,0.0,"消费电子ETF华夏,有色ETF大成,煤炭ETF国泰","消费,周期资源,周期资源"
no_category_cap,2023-12-01,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
no_category_cap,2023-12-15,"512040,512290,515220",3,0.0,"价值100ETF富国,生物医药ETF国泰,煤炭ETF国泰","红利/低波/质量,医药/医疗,周期资源"
no_category_cap,2023-12-29,"159732,513310,515220",3,0.0,"消费电子ETF华夏,中韩半导体ETF华泰柏瑞,煤炭ETF国泰","消费,半导体/芯片,周期资源"
no_category_cap,2024-01-12,"512040,512890,515220",3,0.0,"价值100ETF富国,红利低波ETF华泰柏瑞,煤炭ETF国泰","红利/低波/质量,红利/低波/质量,周期资源"
